Common name,Scientific name,No.,No. Back
Oriental Plover,Charadrius veredus,17,0
Eurasian Dotterel,Charadrius morinellus,284,5
Rufous-chested Plover,Charadrius modestus,33,0
Mountain Plover,Charadrius montanus,7,0
Hooded Dotterel,Thinornis cucullatus,4,0
Shore Dotterel,Thinornis novaeseelandiae,3,0
Black-fronted Dotterel,Elseyornis melanops,35,11
Tawny-throated Dotterel,Oreopholus ruficollis,17,0
Diademed Sandpiper-Plover,Phegornis mitchellii,22,2
Pied Plover,Hoploxypterus cayanus,42,4
Egyptian Plover,Pluvianus aegyptius,16,2
Greater Painted-snipe,Rostratula benghalensis,19,1
South American Painted-snipe,Nycticryphes semicollaris,4,0
Lesser Jacana,Microparra capensis,3,0
African Jacana,Actophilornis africanus,52,7
Madagascar Jacana,Actophilornis albinucha,1,0
Comb-crested Jacana,Irediparra gallinacea,13,4
Pheasant-tailed Jacana,Hydrophasianus chirurgus,28,1
Bronze-winged Jacana,Metopidius indicus,29,2
Northern Jacana,Jacana spinosa,72,13
Wattled Jacana,Jacana jacana,173,80
Plains-wanderer,Pedionomus torquatus,1,0
Rufous-bellied Seedsnipe,Attagis gayi,47,2
White-bellied Seedsnipe,Attagis malouinus,11,0
Grey-breasted Seedsnipe,Thinocorus orbignyianus,31,3
Least Seedsnipe,Thinocorus rumicivorus,20,0
Upland Sandpiper,Bartramia longicauda,101,11
Bristle-thighed Curlew,Numenius tahitiensis,43,8
Eurasian Whimbrel,Numenius phaeopus,1172,166
Hudsonian Whimbrel,Numenius hudsonicus,133,22
Little Curlew,Numenius minutus,11,1
Long-billed Curlew,Numenius americanus,94,23
Far Eastern Curlew,Numenius madagascariensis,24,5
Slender-billed Curlew,Numenius tenuirostris,2,0
Eurasian Curlew,Numenius arquata,1651,1020
Bar-tailed Godwit,Limosa lapponica,262,30
Black-tailed Godwit,Limosa limosa,544,264
Hudsonian Godwit,Limosa haemastica,17,2
Marbled Godwit,Limosa fedoa,90,42
Ruddy Turnstone,Arenaria interpres,459,88
Black Turnstone,Arenaria melanocephala,41,7
Tuamotu Sandpiper,Prosobonia parvirostris,9,2
Great Knot,Calidris tenuirostris,4,3
Red Knot,Calidris canutus,215,20
Surfbird,Calidris virgata,35,8
Ruff,Calidris pugnax,49,9
Broad-billed Sandpiper,Calidris falcinellus,95,6
Sharp-tailed Sandpiper,Calidris acuminata,12,1
Stilt Sandpiper,Calidris himantopus,45,9
Curlew Sandpiper,Calidris ferruginea,181,31
Temminck's Stint,Calidris temminckii,180,26
Long-toed Stint,Calidris subminuta,25,2
Spoon-billed Sandpiper,Calidris pygmaea,7,0
Red-necked Stint,Calidris ruficollis,48,5
Sanderling,Calidris alba,271,62
Dunlin,Calidris alpina,1064,363
Rock Sandpiper,Calidris ptilocnemis,29,3
Purple Sandpiper,Calidris maritima,76,13
Baird's Sandpiper,Calidris bairdii,98,9
Little Stint,Calidris minuta,160,32
Least Sandpiper,Calidris minutilla,143,52
White-rumped Sandpiper,Calidris fuscicollis,65,13
Buff-breasted Sandpiper,Calidris subruficollis,11,0
Pectoral Sandpiper,Calidris melanotos,151,35
Semipalmated Sandpiper,Calidris pusilla,120,37
Western Sandpiper,Calidris mauri,53,7
Asian Dowitcher,Limnodromus semipalmatus,10,2
Long-billed Dowitcher,Limnodromus scolopaceus,113,44
Short-billed Dowitcher,Limnodromus griseus,58,4
Eurasian Woodcock,Scolopax rusticola,994,230
Amami Woodcock,Scolopax mira,3,0
Javan Woodcock,Scolopax saturata,2,0
New Guinea Woodcock,Scolopax rosenbergii,11,0
Bukidnon Woodcock,Scolopax bukidnonensis,26,0
Moluccan Woodcock,Scolopax rochussenii,4,0
American Woodcock,Scolopax minor,155,21
Chatham Snipe,Coenocorypha pusilla,3,5
Snares Snipe,Coenocorypha huegeli,1,1
Jack Snipe,Lymnocryptes minimus,146,14
Solitary Snipe,Gallinago solitaria,10,1
Latham's Snipe,Gallinago hardwickii,31,2
Wood Snipe,Gallinago nemoricola,12,0
Pin-tailed Snipe,Gallinago stenura,83,6
Swinhoe's Snipe,Gallinago megala,42,8
African Snipe,Gallinago nigripennis,18,7
Madagascar Snipe,Gallinago macrodactyla,15,0
Great Snipe,Gallinago media,165,24
Common Snipe,Gallinago gallinago,1798,1080
Wilson's Snipe,Gallinago delicata,206,288
South American Snipe,Gallinago paraguaiae,72,11
Magellanic Snipe,Gallinago magellanica,28,2
Puna Snipe,Gallinago andina,12,2
Noble Snipe,Gallinago nobilis,41,7
Giant Snipe,Gallinago undulata,96,2
Fuegian Snipe,Gallinago stricklandii,11,0
Jameson's Snipe,Gallinago jamesoni,56,5
Imperial Snipe,Gallinago imperialis,28,8
Terek Sandpiper,Xenus cinereus,141,31
Wilson's Phalarope,Phalaropus tricolor,33,23
Red-necked Phalarope,Phalaropus lobatus,154,25
Red Phalarope,Phalaropus fulicarius,86,21
Common Sandpiper,Actitis hypoleucos,1783,300
Spotted Sandpiper,Actitis macularius,162,32
Green Sandpiper,Tringa ochropus,1282,271
Solitary Sandpiper,Tringa solitaria,171,22
Wandering Tattler,Tringa incana,23,2
Grey-tailed Tattler,Tringa brevipes,63,4
Lesser Yellowlegs,Tringa flavipes,260,77
Willet,Tringa semipalmata,172,77
Common Redshank,Tringa totanus,1465,1352
Marsh Sandpiper,Tringa stagnatilis,131,20
Wood Sandpiper,Tringa glareola,932,401
Spotted Redshank,Tringa erythropus,399,66
Common Greenshank,Tringa nebularia,1152,328
Nordmann's Greenshank,Tringa guttifer,8,1
Greater Yellowlegs,Tringa melanoleuca,234,66
Crab-plover,Dromas ardeola,46,13
Cream-colored Courser,Cursorius cursor,15,0
Somali Courser,Cursorius somalensis,2,0
Burchell's Courser,Cursorius rufus,6,0
Temminck's Courser,Cursorius temminckii,8,0
Indian Courser,Cursorius coromandelicus,1,0
Double-banded Courser,Rhinoptilus africanus,20,0
Three-banded Courser,Rhinoptilus cinctus,10,0
Bronze-winged Courser,Rhinoptilus chalcopterus,7,0
Jerdon's Courser,Rhinoptilus bitorquatus,1,0
Australian Pratincole,Stiltia isabella,8,0
Collared Pratincole,Glareola pratincola,135,47
Oriental Pratincole,Glareola maldivarum,50,13
Black-winged Pratincole,Glareola nordmanni,26,0
Madagascar Pratincole,Glareola ocularis,10,0
Rock Pratincole,Glareola nuchalis,13,0
Grey Pratincole,Glareola cinerea,1,0
Small Pratincole,Glareola lactea,23,5
Brown Noddy,Anous stolidus,38,22
Lesser Noddy,Anous tenuirostris,16,18
Black Noddy,Anous minutus,29,45
Blue Noddy,Anous ceruleus,2,3
White Tern,Gygis alba,56,109
Black Skimmer,Rynchops niger,118,50
African Skimmer,Rynchops flavirostris,12,3
Indian Skimmer,Rynchops albicollis,3,0
Swallow-tailed Gull,Creagrus furcatus,14,2
Black-legged Kittiwake,Rissa tridactyla,232,157
Red-legged Kittiwake,Rissa brevirostris,4,0
Ivory Gull,Pagophila eburnea,2,0
Sabine's Gull,Xema sabini,19,0
Slender-billed Gull,Chroicocephalus genei,203,97
Bonaparte's Gull,Chroicocephalus philadelphia,75,5
Silver Gull,Chroicocephalus novaehollandiae,44,52
Black-billed Gull,Chroicocephalus bulleri,10,6
Andean Gull,Chroicocephalus serranus,59,3
Brown-headed Gull,Chroicocephalus brunnicephalus,12,4
Brown-hooded Gull,Chroicocephalus maculipennis,37,12
Black-headed Gull,Chroicocephalus ridibundus,1259,2565
Grey-headed Gull,Chroicocephalus cirrocephalus,58,41
Hartlaub's Gull,Chroicocephalus hartlaubii,10,6
Saunders's Gull,Chroicocephalus saundersi,24,0
Little Gull,Hydrocoloeus minutus,134,72
Ross's Gull,Rhodostethia rosea,20,1
Dolphin Gull,Leucophaeus scoresbii,12,0
Lava Gull,Leucophaeus fuliginosus,5,0
Laughing Gull,Leucophaeus atricilla,125,131
Franklin's Gull,Leucophaeus pipixcan,64,52
Grey Gull,Leucophaeus modestus,13,9
Relict Gull,Ichthyaetus relictus,1,2
Audouin's Gull,Ichthyaetus audouinii,64,6
Mediterranean Gull,Ichthyaetus melanocephalus,332,73
Pallas's Gull,Ichthyaetus ichthyaetus,26,11
White-eyed Gull,Ichthyaetus leucophthalmus,18,0
Sooty Gull,Ichthyaetus hemprichii,26,3
Pacific Gull,Larus pacificus,5,2
Belcher's Gull,Larus belcheri,10,5
Olrog's Gull,Larus atlanticus,3,0
Black-tailed Gull,Larus crassirostris,24,17
Heermann's Gull,Larus heermanni,44,7
Common Gull,Larus canus,610,846
Short-billed Gull,Larus brachyrhynchus,49,6
Ring-billed Gull,Larus delawarensis,118,118
California Gull,Larus californicus,54,35
Great Black-backed Gull,Larus marinus,266,90
Kelp Gull,Larus dominicanus,85,52
Glaucous-winged Gull,Larus glaucescens,58,41
Western Gull,Larus occidentalis,47,49
Yellow-footed Gull,Larus livens,20,2
Glaucous Gull,Larus hyperboreus,61,36
Iceland Gull,Larus glaucoides,28,0
European Herring Gull,Larus argentatus,624,2088
American Herring Gull,Larus smithsonianus,58,42
Vega Gull,Larus vegae,90,68
Caspian Gull,Larus cachinnans,140,45
Yellow-legged Gull,Larus michahellis,540,547
Armenian Gull,Larus armenicus,9,2
Slaty-backed Gull,Larus schistisagus,23,8
Lesser Black-backed Gull,Larus fuscus,307,347
Gull-billed Tern,Gelochelidon nilotica,255,63
Australian Tern,Gelochelidon macrotarsa,3,0
Caspian Tern,Hydroprogne caspia,377,72
Royal Tern,Thalasseus maximus,133,44
Greater Crested Tern,Thalasseus bergii,55,10
Lesser Crested Tern,Thalasseus bengalensis,30,10
West African Crested Tern,Thalasseus albididorsalis,7,11
Chinese Crested Tern,Thalasseus bernsteini,4,0
Sandwich Tern,Thalasseus sandvicensis,558,191
Cabot's Tern,Thalasseus acuflavidus,53,3
Elegant Tern,Thalasseus elegans,108,38
Little Tern,Sternula albifrons,393,96
Saunders's Tern,Sternula saundersi,37,9
Least Tern,Sternula antillarum,136,58
Yellow-billed Tern,Sternula superciliaris,41,6
Peruvian Tern,Sternula lorata,13,2
Fairy Tern,Sternula nereis,7,1
Damara Tern,Sternula balaenarum,11,0
Aleutian Tern,Onychoprion aleuticus,17,2
Spectacled Tern,Onychoprion lunatus,2,1
Bridled Tern,Onychoprion anaethetus,36,0
Sooty Tern,Onychoprion fuscatus,39,21
River Tern,Sterna aurantia,18,7
Roseate Tern,Sterna dougallii,176,29
White-fronted Tern,Sterna striata,15,11
Black-naped Tern,Sterna sumatrana,25,1
South American Tern,Sterna hirundinacea,27,2
Common Tern,Sterna hirundo,821,454
White-cheeked Tern,Sterna repressa,19,5
Arctic Tern,Sterna paradisaea,399,287
Antarctic Tern,Sterna vittata,16,2
Kerguelen Tern,Sterna virgata,2,0
Forster's Tern,Sterna forsteri,106,44
Snowy-crowned Tern,Sterna trudeaui,12,2
Black-bellied Tern,Sterna acuticauda,3,0
Black-fronted Tern,Chlidonias albostriatus,7,0
Whiskered Tern,Chlidonias hybrida,300,163
White-winged Tern,Chlidonias leucopterus,149,56
Black Tern,Chlidonias niger,269,129
Large-billed Tern,Phaetusa simplex,87,17
Inca Tern,Larosterna inca,17,2
Chilean Skua,Stercorarius chilensis,5,0
South Polar Skua,Stercorarius maccormicki,12,1
Brown Skua,Stercorarius antarcticus,25,3
Great Skua,Stercorarius skua,54,1
Pomarine Jaeger,Stercorarius pomarinus,7,2
Parasitic Jaeger,Stercorarius parasiticus,83,8
Long-tailed Jaeger,Stercorarius longicaudus,74,6
Little Auk,Alle alle,13,1
Thick-billed Murre,Uria lomvia,28,5
Common Murre,Uria aalge,146,152
Razorbill,Alca torda,102,67
Black Guillemot,Cepphus grylle,60,14
Pigeon Guillemot,Cepphus columba,24,2
Marbled Murrelet,Brachyramphus marmoratus,24,0
Scripps's Murrelet,Synthliboramphus scrippsi,1,0
Craveri's Murrelet,Synthliboramphus craveri,6,0
Ancient Murrelet,Synthliboramphus antiquus,4,0
Japanese Murrelet,Synthliboramphus wumizusume,2,0
Cassin's Auklet,Ptychoramphus aleuticus,16,2
Parakeet Auklet,Aethia psittacula,6,5
Least Auklet,Aethia pusilla,11,11
Whiskered Auklet,Aethia pygmaea,1,0
Crested Auklet,Aethia cristatella,4,1
Atlantic Puffin,Fratercula arctica,62,0
Horned Puffin,Fratercula corniculata,1,0
Kagu,Rhynochetos jubatus,15,0
Sunbittern,Eurypyga helias,109,17
Red-billed Tropicbird,Phaethon aethereus,29,5
Red-tailed Tropicbird,Phaethon rubricauda,47,40
White-tailed Tropicbird,Phaethon lepturus,29,17
Red-throated Loon,Gavia stellata,270,72
Black-throated Loon,Gavia arctica,99,18
Pacific Loon,Gavia pacifica,23,3
Common Loon,Gavia immer,165,35
Yellow-billed Loon,Gavia adamsii,13,1
King Penguin,Aptenodytes patagonicus,38,12
Emperor Penguin,Aptenodytes forsteri,8,0
Adelie Penguin,Pygoscelis adeliae,22,0
Chinstrap Penguin,Pygoscelis antarcticus,22,5
Gentoo Penguin,Pygoscelis papua,29,8
Little Penguin,Eudyptula minor,18,3
Galapagos Penguin,Spheniscus mendiculus,1,0
Humboldt Penguin,Spheniscus humboldti,2,0
Magellanic Penguin,Spheniscus magellanicus,15,3
African Penguin,Spheniscus demersus,25,1
Yellow-eyed Penguin,Megadyptes antipodes,2,1
Macaroni Penguin,Eudyptes chrysolophus,17,0
Royal Penguin,Eudyptes schlegeli,10,0
Northern Rockhopper Penguin,Eudyptes moseleyi,1,0
Southern Rockhopper Penguin,Eudyptes chrysocome,13,3
Fiordland Penguin,Eudyptes pachyrhynchus,2,0
Snares Penguin,Eudyptes robustus,4,0
Erect-crested Penguin,Eudyptes sclateri,2,0
Wilson's Storm Petrel,Oceanites oceanicus,25,4
Elliot's Storm Petrel,Oceanites gracilis,15,0
White-faced Storm Petrel,Pelagodroma marina,4,2
Black-bellied Storm Petrel,Fregetta tropica,6,2
Laysan Albatross,Phoebastria immutabilis,156,113
Black-footed Albatross,Phoebastria nigripes,23,21
Waved Albatross,Phoebastria irrorata,7,2
Wandering Albatross,Diomedea exulans,6,0
Antipodean Albatross,Diomedea antipodensis,11,3
Tristan Albatross,Diomedea dabbenena,1,0
Southern Royal Albatross,Diomedea epomophora,7,1
Northern Royal Albatross,Diomedea sanfordi,1,0
Light-mantled Albatross,Phoebetria palpebrata,11,4
Black-browed Albatross,Thalassarche melanophris,29,4
Shy Albatross,Thalassarche cauta,17,1
Chatham Albatross,Thalassarche eremita,2,0
Salvin's Albatross,Thalassarche salvini,9,2
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,1,0
Indian Yellow-nosed Albatross,Thalassarche carteri,2,0
Buller's Albatross,Thalassarche bulleri,2,4
European Storm Petrel,Hydrobates pelagicus,79,10
Fork-tailed Storm Petrel,Hydrobates furcatus,3,0
Hornby's Storm Petrel,Hydrobates hornbyi,4,0
Swinhoe's Storm Petrel,Hydrobates monorhis,7,1
Leach's Storm Petrel,Hydrobates leucorhous,17,3
Ashy Storm Petrel,Hydrobates homochroa,2,0
Band-rumped Storm Petrel,Hydrobates castro,19,9
Monteiro's Storm Petrel,Hydrobates monteiroi,5,0
Cape Verde Storm Petrel,Hydrobates jabejabe,4,2
Wedge-rumped Storm Petrel,Hydrobates tethys,7,0
Markham's Storm Petrel,Hydrobates markhami,6,0
Tristram's Storm Petrel,Hydrobates tristrami,1,0
Southern Giant Petrel,Macronectes giganteus,1,2
Northern Giant Petrel,Macronectes halli,12,5
Northern Fulmar,Fulmarus glacialis,97,33
Southern Fulmar,Fulmarus glacialoides,1,0
Antarctic Petrel,Thalassoica antarctica,7,0
Cape Petrel,Daption capense,11,14
Snow Petrel,Pagodroma nivea,9,0
Blue Petrel,Halobaena caerulea,4,0
Broad-billed Prion,Pachyptila vittata,7,5
Antarctic Prion,Pachyptila desolata,4,1
Slender-billed Prion,Pachyptila belcheri,8,0
Fairy Prion,Pachyptila turtur,6,1
Fulmar Prion,Pachyptila crassirostris,3,0
Kerguelen Petrel,Aphrodroma brevirostris,7,0
White-headed Petrel,Pterodroma lessonii,5,3
Grey-faced Petrel,Pterodroma gouldi,6,3
Atlantic Petrel,Pterodroma incerta,1,1
Providence Petrel,Pterodroma solandri,2,0
Magenta Petrel,Pterodroma magentae,18,1
Soft-plumaged Petrel,Pterodroma mollis,1,2
Zino's Petrel,Pterodroma madeira,42,0
Fea's Petrel,Pterodroma feae,3,0
Desertas Petrel,Pterodroma deserta,3,0
Bermuda Petrel,Pterodroma cahow,1,0
Juan Fernandez Petrel,Pterodroma externa,1,0
Kermadec Petrel,Pterodroma neglecta,3,1
Herald Petrel,Pterodroma heraldica,12,0
Trindade Petrel,Pterodroma arminjoniana,4,1
Phoenix Petrel,Pterodroma alba,1,0
Barau's Petrel,Pterodroma baraui,4,0
Hawaiian Petrel,Pterodroma sandwichensis,4,0
Galapagos Petrel,Pterodroma phaeopygia,6,0
Mottled Petrel,Pterodroma inexpectata,1,0
White-necked Petrel,Pterodroma cervicalis,2,0
Black-winged Petrel,Pterodroma nigripennis,6,3
Chatham Petrel,Pterodroma axillaris,3,0
Bonin Petrel,Pterodroma hypoleuca,36,44
Gould's Petrel,Pterodroma leucoptera,1,0
Cook's Petrel,Pterodroma cookii,4,0
Mascarene Petrel,Pseudobulweria aterrima,4,0
Tahiti Petrel,Pseudobulweria rostrata,2,0
Grey Petrel,Procellaria cinerea,5,0
White-chinned Petrel,Procellaria aequinoctialis,17,0
Black Petrel,Procellaria parkinsoni,2,0
Westland Petrel,Procellaria westlandica,6,0
Streaked Shearwater,Calonectris leucomelas,3,0
Scopoli's Shearwater,Calonectris diomedea,46,2
Cory's Shearwater,Calonectris borealis,144,34
Cape Verde Shearwater,Calonectris edwardsii,1,9
Wedge-tailed Shearwater,Ardenna pacifica,36,2
Buller's Shearwater,Ardenna bulleri,2,0
Sooty Shearwater,Ardenna grisea,17,8
Short-tailed Shearwater,Ardenna tenuirostris,10,0
Pink-footed Shearwater,Ardenna creatopus,24,1
Flesh-footed Shearwater,Ardenna carneipes,11,0
Great Shearwater,Ardenna gravis,10,1
Christmas Shearwater,Puffinus nativitatis,7,0
Manx Shearwater,Puffinus puffinus,263,25
Yelkouan Shearwater,Puffinus yelkouan,17,2
Balearic Shearwater,Puffinus mauretanicus,7,0
Black-vented Shearwater,Puffinus opisthomelas,1,0
Townsend's Shearwater,Puffinus auricularis,8,0
Newell's Shearwater,Puffinus newelli,1,0
Fluttering Shearwater,Puffinus gavia,4,2
Hutton's Shearwater,Puffinus huttoni,1,0
Audubon's Shearwater,Puffinus lherminieri,64,0
Persian Shearwater,Puffinus persicus,1,0
Tropical Shearwater,Puffinus bailloni,21,0
Galapagos Shearwater,Puffinus subalaris,4,0
Little Shearwater,Puffinus assimilis,4,1
Barolo Shearwater,Puffinus baroli,39,3
Boyd's Shearwater,Puffinus boydi,15,3
Magellanic Diving Petrel,Pelecanoides magellani,2,0
South Georgia Diving Petrel,Pelecanoides georgicus,1,2
Common Diving Petrel,Pelecanoides urinatrix,7,5
Bulwer's Petrel,Bulweria bulwerii,9,2
Wood Stork,Mycteria americana,19,7
Milky Stork,Mycteria cinerea,1,0
Yellow-billed Stork,Mycteria ibis,2,0
Painted Stork,Mycteria leucocephala,16,5
Asian Openbill,Anastomus oscitans,7,1
African Openbill,Anastomus lamelligerus,1,0
Black Stork,Ciconia nigra,29,0
Maguari Stork,Ciconia maguari,3,0
White Stork,Ciconia ciconia,160,48
Oriental Stork,Ciconia boyciana,2,1
Jabiru,Jabiru mycteria,21,2
Lesser Adjutant,Leptoptilos javanicus,1,0
Marabou Stork,Leptoptilos crumenifer,14,1
Ascension Frigatebird,Fregata aquila,1,0
Christmas Frigatebird,Fregata andrewsi,3,0
Magnificent Frigatebird,Fregata magnificens,21,1
Great Frigatebird,Fregata minor,45,6
Northern Gannet,Morus bassanus,89,69
Cape Gannet,Morus capensis,12,1
Australasian Gannet,Morus serrator,4,0
Abbott's Booby,Papasula abbotti,5,0
Blue-footed Booby,Sula nebouxii,12,2
Peruvian Booby,Sula variegata,5,0
Masked Booby,Sula dactylatra,32,0
Nazca Booby,Sula granti,17,6
Red-footed Booby,Sula sula,51,14
Brown Booby,Sula leucogaster,26,1
Oriental Darter,Anhinga melanogaster,18,4
African Darter,Anhinga rufa,10,2
Australasian Darter,Anhinga novaehollandiae,15,9
Anhinga,Anhinga anhinga,76,25
Pygmy Cormorant,Microcarbo pygmaeus,12,2
Reed Cormorant,Microcarbo africanus,4,3
Little Cormorant,Microcarbo niger,6,2
Little Pied Cormorant,Microcarbo melanoleucos,2,0
Red-legged Cormorant,Poikilocarbo gaimardi,7,0
Brandt's Cormorant,Urile penicillatus,7,1
Red-faced Cormorant,Urile urile,4,0
Pelagic Cormorant,Urile pelagicus,6,0
Socotra Cormorant,Phalacrocorax nigrogularis,6,0
Pitt Shag,Phalacrocorax featherstoni,1,0
Spotted Shag,Phalacrocorax punctatus,7,0
Black-faced Cormorant,Phalacrocorax fuscescens,2,0
Australian Pied Cormorant,Phalacrocorax varius,3,0
Little Black Cormorant,Phalacrocorax sulcirostris,8,0
Indian Cormorant,Phalacrocorax fuscicollis,2,3
Cape Cormorant,Phalacrocorax capensis,3,0
White-breasted Cormorant,Phalacrocorax lucidus,11,5
Great Cormorant,Phalacrocorax carbo,242,199
European Shag,Gulosus aristotelis,34,6
Flightless Cormorant,Nannopterum harrisi,3,0
Neotropic Cormorant,Nannopterum brasilianum,117,87
Double-crested Cormorant,Nannopterum auritum,60,24
Rock Shag,Leucocarbo magellanicus,5,2
New Zealand King Shag,Leucocarbo carunculatus,3,0
Chatham Shag,Leucocarbo onslowi,1,0
Otago Shag,Leucocarbo chalconotus,1,1
Auckland Shag,Leucocarbo colensoi,1,0
Imperial Shag,Leucocarbo atriceps,6,0
Antarctic Shag,Leucocarbo bransfieldensis,1,0
Kerguelen Shag,Leucocarbo verrucosus,2,0
African Sacred Ibis,Threskiornis aethiopicus,11,0
Black-headed Ibis,Threskiornis melanocephalus,6,1
Australian White Ibis,Threskiornis molucca,42,9
Straw-necked Ibis,Threskiornis spinicollis,5,0
Red-naped Ibis,Pseudibis papillosa,14,0
White-shouldered Ibis,Pseudibis davisoni,19,1
Giant Ibis,Pseudibis gigantea,15,0
Northern Bald Ibis,Geronticus eremita,55,9
Southern Bald Ibis,Geronticus calvus,2,0
Crested Ibis,Nipponia nippon,11,1
Olive Ibis,Bostrychia olivacea,10,0
Sao Tome Ibis,Bostrychia bocagei,1,0
Spot-breasted Ibis,Bostrychia rara,14,1
Hadada Ibis,Bostrychia hagedash,199,256
Wattled Ibis,Bostrychia carunculata,13,1
Plumbeous Ibis,Theristicus caerulescens,80,64
Buff-necked Ibis,Theristicus caudatus,145,112
Black-faced Ibis,Theristicus melanopis,47,13
Andean Ibis,Theristicus branickii,14,1
Sharp-tailed Ibis,Cercibis oxycerca,18,3
Green Ibis,Mesembrinibis cayennensis,129,92
Bare-faced Ibis,Phimosus infuscatus,27,6
American White Ibis,Eudocimus albus,69,12
Scarlet Ibis,Eudocimus ruber,6,2
Glossy Ibis,Plegadis falcinellus,143,36
White-faced Ibis,Plegadis chihi,80,13
Puna Ibis,Plegadis ridgwayi,17,3
Madagascar Ibis,Lophotibis cristata,4,0
Eurasian Spoonbill,Platalea leucorodia,61,35
Black-faced Spoonbill,Platalea minor,1,0
African Spoonbill,Platalea alba,7,0
Royal Spoonbill,Platalea regia,3,0
Yellow-billed Spoonbill,Platalea flavipes,2,0
Roseate Spoonbill,Platalea ajaja,32,8
White-crested Tiger Heron,Tigriornis leucolopha,3,0
Rufescent Tiger Heron,Tigrisoma lineatum,86,26
Fasciated Tiger Heron,Tigrisoma fasciatum,4,0
Bare-throated Tiger Heron,Tigrisoma mexicanum,31,3
Agami Heron,Agamia agami,13,3
Boat-billed Heron,Cochlearius cochlearius,52,11
Zigzag Heron,Zebrilus undulatus,60,18
Eurasian Bittern,Botaurus stellaris,1060,394
Australasian Bittern,Botaurus poiciloptilus,4,1
American Bittern,Botaurus lentiginosus,100,49
Pinnated Bittern,Botaurus pinnatus,20,0
Stripe-backed Bittern,Ixobrychus involucris,27,0
Least Bittern,Ixobrychus exilis,193,36
Little Bittern,Ixobrychus minutus,777,57
Black-backed Bittern,Ixobrychus dubius,8,2
Yellow Bittern,Ixobrychus sinensis,40,3
Von Schrenck's Bittern,Ixobrychus eurhythmus,14,3
Cinnamon Bittern,Ixobrychus cinnamomeus,22,3
Dwarf Bittern,Ixobrychus sturmii,6,1
Black Bittern,Ixobrychus flavicollis,13,0
White-eared Night Heron,Gorsachius magnificus,1,0
Japanese Night Heron,Gorsachius goisagi,4,0
Malayan Night Heron,Gorsachius melanolophus,37,6
White-backed Night Heron,Gorsachius leuconotus,11,2
Black-crowned Night Heron,Nycticorax nycticorax,1133,170
Nankeen Night Heron,Nycticorax caledonicus,21,1
Yellow-crowned Night Heron,Nyctanassa violacea,66,3
Green Heron,Butorides virescens,134,50
Striated Heron,Butorides striata,187,25
Squacco Heron,Ardeola ralloides,82,13
Indian Pond Heron,Ardeola grayii,18,5
Chinese Pond Heron,Ardeola bacchus,29,2
Javan Pond Heron,Ardeola speciosa,4,3
Rufous-bellied Heron,Ardeola rufiventris,3,0
Western Cattle Egret,Bubulcus ibis,284,133
Eastern Cattle Egret,Bubulcus coromandus,9,1
Grey Heron,Ardea cinerea,1638,661
Great Blue Heron,Ardea herodias,139,59
Cocoi Heron,Ardea cocoi,60,13
White-necked Heron,Ardea pacifica,5,2
Black-headed Heron,Ardea melanocephala,24,3
White-bellied Heron,Ardea insignis,2,0
Great-billed Heron,Ardea sumatrana,19,0
Goliath Heron,Ardea goliath,2,0
Purple Heron,Ardea purpurea,341,50
Great Egret,Ardea alba,365,109
Intermediate Egret,Ardea intermedia,11,2
Capped Heron,Pilherodius pileatus,7,0
Whistling Heron,Syrigma sibilatrix,75,11
Pied Heron,Egretta picata,9,1
White-faced Heron,Egretta novaehollandiae,17,1
Reddish Egret,Egretta rufescens,15,0
Black Heron,Egretta ardesiaca,6,0
Tricolored Heron,Egretta tricolor,52,12
Little Blue Heron,Egretta caerulea,68,5
Snowy Egret,Egretta thula,92,27
Little Egret,Egretta garzetta,539,161
Western Reef Heron,Egretta gularis,27,13
Dimorphic Egret,Egretta dimorpha,15,4
Pacific Reef Heron,Egretta sacra,9,0
Hamerkop,Scopus umbretta,54,6
Great White Pelican,Pelecanus onocrotalus,14,3
Pink-backed Pelican,Pelecanus rufescens,2,0
Spot-billed Pelican,Pelecanus philippensis,5,1
Dalmatian Pelican,Pelecanus crispus,3,0
Australian Pelican,Pelecanus conspicillatus,7,1
American White Pelican,Pelecanus erythrorhynchos,6,1
Brown Pelican,Pelecanus occidentalis,11,4
Peruvian Pelican,Pelecanus thagus,1,0
Hoatzin,Opisthocomus hoazin,111,81
King Vulture,Sarcoramphus papa,2,0
Andean Condor,Vultur gryphus,6,0
Black Vulture,Coragyps atratus,67,7
Turkey Vulture,Cathartes aura,11,4
Lesser Yellow-headed Vulture,Cathartes burrovianus,1,0
Greater Yellow-headed Vulture,Cathartes melambrotus,1,0
Secretarybird,Sagittarius serpentarius,4,0
Western Osprey,Pandion haliaetus,319,74
Eastern Osprey,Pandion cristatus,11,1
Black-winged Kite,Elanus caeruleus,277,20
Black-shouldered Kite,Elanus axillaris,7,0
White-tailed Kite,Elanus leucurus,51,10
Pearl Kite,Gampsonyx swainsonii,33,1
Scissor-tailed Kite,Chelictinia riocourii,9,1
African Harrier-Hawk,Polyboroides typus,23,7
Madagascar Harrier-Hawk,Polyboroides radiatus,9,4
Palm-nut Vulture,Gypohierax angolensis,8,2
Bearded Vulture,Gypaetus barbatus,13,0
Egyptian Vulture,Neophron percnopterus,7,0
Madagascar Serpent Eagle,Eutriorchis astur,2,0
