"species_code","common_name","scientific_name","xc_common_name","xc_scientific_name"
"ostric2","Common Ostrich","Struthio camelus","Common Ostrich","Struthio camelus"
"ostric3","Somali Ostrich","Struthio molybdophanes","Somali Ostrich","Struthio molybdophanes"
"grerhe1","Greater Rhea","Rhea americana","Greater Rhea","Rhea americana"
"lesrhe2","Lesser Rhea","Rhea pennata","Lesser Rhea","Rhea pennata"
"tabtin1","Tawny-breasted Tinamou","Nothocercus julius","Tawny-breasted Tinamou","Nothocercus julius"
"higtin1","Highland Tinamou","Nothocercus bonapartei","Highland Tinamou","Nothocercus bonapartei"
"hootin1","Hooded Tinamou","Nothocercus nigrocapillus","Hooded Tinamou","Nothocercus nigrocapillus"
"grytin1","Gray Tinamou","Tinamus tao","Grey Tinamou","Tinamus tao"
"soltin1","Solitary Tinamou","Tinamus solitarius","Solitary Tinamou","Tinamus solitarius"
"blatin1","Black Tinamou","Tinamus osgoodi","Black Tinamou","Tinamus osgoodi"
"gretin1","Great Tinamou","Tinamus major","Great Tinamou","Tinamus major"
"whttin1","White-throated Tinamou","Tinamus guttatus","White-throated Tinamou","Tinamus guttatus"
"cintin1","Cinereous Tinamou","Crypturellus cinereus","Cinereous Tinamou","Crypturellus cinereus"
"bertin1","Berlepsch's Tinamou","Crypturellus berlepschi","Berlepsch's Tinamou","Crypturellus berlepschi"
"littin1","Little Tinamou","Crypturellus soui","Little Tinamou","Crypturellus soui"
"teptin1","Tepui Tinamou","Crypturellus ptaritepui","Tepui Tinamou","Crypturellus ptaritepui"
"brotin1","Brown Tinamou","Crypturellus obsoletus","Brown Tinamou","Crypturellus obsoletus"
"undtin1","Undulated Tinamou","Crypturellus undulatus","Undulated Tinamou","Crypturellus undulatus"
"pabtin1","Pale-browed Tinamou","Crypturellus transfasciatus","Pale-browed Tinamou","Crypturellus transfasciatus"
"bratin1","Brazilian Tinamou","Crypturellus strigulosus","Brazilian Tinamou","Crypturellus strigulosus"
"gyltin1","Gray-legged Tinamou","Crypturellus duidae","Grey-legged Tinamou","Crypturellus duidae"
"reltin1","Red-legged Tinamou","Crypturellus erythropus","Red-legged Tinamou","Crypturellus erythropus"
"yeltin1","Yellow-legged Tinamou","Crypturellus noctivagus","Yellow-legged Tinamou","Crypturellus noctivagus"
"blctin1","Black-capped Tinamou","Crypturellus atrocapillus","Black-capped Tinamou","Crypturellus atrocapillus"
"slbtin1","Slaty-breasted Tinamou","Crypturellus boucardi","Slaty-breasted Tinamou","Crypturellus boucardi"
"chotin1","Choco Tinamou","Crypturellus kerriae","Choco Tinamou","Crypturellus kerriae"
"vartin1","Variegated Tinamou","Crypturellus variegatus","Variegated Tinamou","Crypturellus variegatus"
"thitin1","Thicket Tinamou","Crypturellus cinnamomeus","Thicket Tinamou","Crypturellus cinnamomeus"
"rustin1","Rusty Tinamou","Crypturellus brevirostris","Rusty Tinamou","Crypturellus brevirostris"
"bartin2","Bartlett's Tinamou","Crypturellus bartletti","Bartlett's Tinamou","Crypturellus bartletti"
"smbtin1","Small-billed Tinamou","Crypturellus parvirostris","Small-billed Tinamou","Crypturellus parvirostris"
"bartin1","Barred Tinamou","Crypturellus casiquiare","Barred Tinamou","Crypturellus casiquiare"
"tattin1","Tataupa Tinamou","Crypturellus tataupa","Tataupa Tinamou","Crypturellus tataupa"
"rewtin1","Red-winged Tinamou","Rhynchotus rufescens","Red-winged Tinamou","Rhynchotus rufescens"
"huatin1","Huayco Tinamou","Rhynchotus maculicollis","Huayco Tinamou","Rhynchotus maculicollis"
"tactin1","Taczanowski's Tinamou","Nothoprocta taczanowskii","Taczanowski's Tinamou","Nothoprocta taczanowskii"
"orntin1","Ornate Tinamou","Nothoprocta ornata","Ornate Tinamou","Nothoprocta ornata"
"chitin1","Chilean Tinamou","Nothoprocta perdicaria","Chilean Tinamou","Nothoprocta perdicaria"
"brutin1","Brushland Tinamou","Nothoprocta cinerascens","Brushland Tinamou","Nothoprocta cinerascens"
"andtin1","Andean Tinamou","Nothoprocta pentlandii","Andean Tinamou","Nothoprocta pentlandii"
"cubtin1","Curve-billed Tinamou","Nothoprocta curvirostris","Curve-billed Tinamou","Nothoprocta curvirostris"
"whbnot1","White-bellied Nothura","Nothura boraquira","White-bellied Nothura","Nothura boraquira"
"lesnot1","Lesser Nothura","Nothura minor","Lesser Nothura","Nothura minor"
"darnot1","Darwin's Nothura","Nothura darwinii","Darwin's Nothura","Nothura darwinii"
"sponot1","Spotted Nothura","Nothura maculosa","Spotted Nothura","Nothura maculosa"
"dwatin1","Dwarf Tinamou","Taoniscus nanus","Dwarf Tinamou","Taoniscus nanus"
"elctin1","Elegant Crested-Tinamou","Eudromia elegans","Elegant Crested Tinamou","Eudromia elegans"
"quctin1","Quebracho Crested-Tinamou","Eudromia formosa","Quebracho Crested Tinamou","Eudromia formosa"
"puntin1","Puna Tinamou","Tinamotis pentlandii","Puna Tinamou","Tinamotis pentlandii"
"pattin1","Patagonian Tinamou","Tinamotis ingoufi","Patagonian Tinamou","Tinamotis ingoufi"
"soucas1","Southern Cassowary","Casuarius casuarius","Southern Cassowary","Casuarius casuarius"
"dwacas1","Dwarf Cassowary","Casuarius bennetti","Dwarf Cassowary","Casuarius bennetti"
"norcas1","Northern Cassowary","Casuarius unappendiculatus","Northern Cassowary","Casuarius unappendiculatus"
"emu1","Emu","Dromaius novaehollandiae","Emu","Dromaius novaehollandiae"
"sobkiw1","Southern Brown Kiwi","Apteryx australis","Southern Brown Kiwi","Apteryx australis"
"okbkiw1","Okarito Brown Kiwi","Apteryx rowi","Okarito Kiwi","Apteryx rowi"
"nibkiw1","North Island Brown Kiwi","Apteryx mantelli","North Island Brown Kiwi","Apteryx mantelli"
"liskiw1","Little Spotted Kiwi","Apteryx owenii","Little Spotted Kiwi","Apteryx owenii"
"grskiw1","Great Spotted Kiwi","Apteryx haastii","Great Spotted Kiwi","Apteryx haastii"
"horscr1","Horned Screamer","Anhima cornuta","Horned Screamer","Anhima cornuta"
"souscr1","Southern Screamer","Chauna torquata","Southern Screamer","Chauna torquata"
"norscr1","Northern Screamer","Chauna chavaria","Northern Screamer","Chauna chavaria"
"maggoo1","Magpie Goose","Anseranas semipalmata","Magpie Goose","Anseranas semipalmata"
"spwduc1","Spotted Whistling-Duck","Dendrocygna guttata","Spotted Whistling Duck","Dendrocygna guttata"
"plwduc1","Plumed Whistling-Duck","Dendrocygna eytoni","Plumed Whistling Duck","Dendrocygna eytoni"
"wfwduc1","White-faced Whistling-Duck","Dendrocygna viduata","White-faced Whistling Duck","Dendrocygna viduata"
"bbwduc","Black-bellied Whistling-Duck","Dendrocygna autumnalis","Black-bellied Whistling Duck","Dendrocygna autumnalis"
"wiwduc1","West Indian Whistling-Duck","Dendrocygna arborea","West Indian Whistling Duck","Dendrocygna arborea"
"fuwduc","Fulvous Whistling-Duck","Dendrocygna bicolor","Fulvous Whistling Duck","Dendrocygna bicolor"
"wawduc1","Wandering Whistling-Duck","Dendrocygna arcuata","Wandering Whistling Duck","Dendrocygna arcuata"
"lewduc1","Lesser Whistling-Duck","Dendrocygna javanica","Lesser Whistling Duck","Dendrocygna javanica"
"whbduc1","White-backed Duck","Thalassornis leuconotus","White-backed Duck","Thalassornis leuconotus"
"bahgoo","Bar-headed Goose","Anser indicus","Bar-headed Goose","Anser indicus"
"empgoo","Emperor Goose","Anser canagicus","Emperor Goose","Anser canagicus"
"snogoo","Snow Goose","Anser caerulescens","Snow Goose","Anser caerulescens"
"rosgoo","Ross's Goose","Anser rossii","Ross's Goose","Anser rossii"
"gragoo","Graylag Goose","Anser anser","Greylag Goose","Anser anser"
"swagoo1","Swan Goose","Anser cygnoides","Swan Goose","Anser cygnoides"
"gwfgoo","Greater White-fronted Goose","Anser albifrons","Greater White-fronted Goose","Anser albifrons"
"lwfgoo","Lesser White-fronted Goose","Anser erythropus","Lesser White-fronted Goose","Anser erythropus"
"taibeg1","Taiga Bean-Goose","Anser fabalis","Taiga Bean Goose","Anser fabalis"
"tunbeg1","Tundra Bean-Goose","Anser serrirostris","Tundra Bean Goose","Anser serrirostris"
"pifgoo","Pink-footed Goose","Anser brachyrhynchus","Pink-footed Goose","Anser brachyrhynchus"
"brant","Brant","Branta bernicla","Brant Goose","Branta bernicla"
"bargoo","Barnacle Goose","Branta leucopsis","Barnacle Goose","Branta leucopsis"
"cacgoo1","Cackling Goose","Branta hutchinsii","Cackling Goose","Branta hutchinsii"
"cangoo","Canada Goose","Branta canadensis","Canada Goose","Branta canadensis"
"hawgoo","Hawaiian Goose","Branta sandvicensis","Nene","Branta sandvicensis"
"rebgoo1","Red-breasted Goose","Branta ruficollis","Red-breasted Goose","Branta ruficollis"
"cabgoo1","Cape Barren Goose","Cereopsis novaehollandiae","Cape Barren Goose","Cereopsis novaehollandiae"
"freduc1","Freckled Duck","Stictonetta naevosa","Freckled Duck","Stictonetta naevosa"
"buwgoo1","Blue-winged Goose","Cyanochen cyanoptera","Blue-winged Goose","Cyanochen cyanoptera"
"mutswa","Mute Swan","Cygnus olor","Mute Swan","Cygnus olor"
"blkswa","Black Swan","Cygnus atratus","Black Swan","Cygnus atratus"
"blnswa2","Black-necked Swan","Cygnus melancoryphus","Black-necked Swan","Cygnus melancoryphus"
"truswa","Trumpeter Swan","Cygnus buccinator","Trumpeter Swan","Cygnus buccinator"
"tunswa","Tundra Swan","Cygnus columbianus","Tundra Swan","Cygnus columbianus"
"whoswa","Whooper Swan","Cygnus cygnus","Whooper Swan","Cygnus cygnus"
"cosswa1","Coscoroba Swan","Coscoroba coscoroba","Coscoroba Swan","Coscoroba coscoroba"
"comduc2","Knob-billed Duck","Sarkidiornis melanotos","Knob-billed Duck","Sarkidiornis melanotos"
"comduc3","Comb Duck","Sarkidiornis sylvicola","Comb Duck","Sarkidiornis sylvicola"
"harduc1","Hartlaub's Duck","Pteronetta hartlaubii","Hartlaub's Duck","Pteronetta hartlaubii"
"origoo1","Orinoco Goose","Oressochen jubatus","Orinoco Goose","Neochen jubata"
"andgoo1","Andean Goose","Oressochen melanopterus","Andean Goose","Chloephaga melanoptera"
"uplgoo1","Upland Goose","Chloephaga picta","Upland Goose","Chloephaga picta"
"kelgoo1","Kelp Goose","Chloephaga hybrida","Kelp Goose","Chloephaga hybrida"
"ashgoo1","Ashy-headed Goose","Chloephaga poliocephala","Ashy-headed Goose","Chloephaga poliocephala"
"ruhgoo1","Ruddy-headed Goose","Chloephaga rubidiceps","Ruddy-headed Goose","Chloephaga rubidiceps"
"radshe1","Radjah Shelduck","Radjah radjah","Raja Shelduck","Radjah radjah"
"egygoo","Egyptian Goose","Alopochen aegyptiaca","Egyptian Goose","Alopochen aegyptiaca"
"maushe1","Mauritius Shelduck","Alopochen mauritiana",NA,NA
"reushe1","Reunion Shelduck","Alopochen kervazoi",NA,NA
"rudshe","Ruddy Shelduck","Tadorna ferruginea","Ruddy Shelduck","Tadorna ferruginea"
"soashe1","South African Shelduck","Tadorna cana","South African Shelduck","Tadorna cana"
"ausshe1","Australian Shelduck","Tadorna tadornoides","Australian Shelduck","Tadorna tadornoides"
"parshe1","Paradise Shelduck","Tadorna variegata","Paradise Shelduck","Tadorna variegata"
"comshe","Common Shelduck","Tadorna tadorna","Common Shelduck","Tadorna tadorna"
"creshe1","Crested Shelduck","Tadorna cristata",NA,NA
"spwgoo1","Spur-winged Goose","Plectropterus gambensis","Spur-winged Goose","Plectropterus gambensis"
"flystd1","Flying Steamer-Duck","Tachyeres patachonicus","Flying Steamer Duck","Tachyeres patachonicus"
"flistd1","Flightless Steamer-Duck","Tachyeres pteneres","Fuegian Steamer Duck","Tachyeres pteneres"
"falstd1","Falkland Steamer-Duck","Tachyeres brachypterus","Falkland Steamer Duck","Tachyeres brachypterus"
"whhstd1","White-headed Steamer-Duck","Tachyeres leucocephalus","Chubut Steamer Duck","Tachyeres leucocephalus"
"creduc1","Crested Duck","Lophonetta specularioides","Crested Duck","Lophonetta specularioides"
"speduc2","Spectacled Duck","Speculanas specularis","Bronze-winged Duck","Speculanas specularis"
"musduc","Muscovy Duck","Cairina moschata","Muscovy Duck","Cairina moschata"
"grnpyg1","Green Pygmy-Goose","Nettapus pulchellus","Green Pygmy Goose","Nettapus pulchellus"
"copgoo1","Cotton Pygmy-Goose","Nettapus coromandelianus","Cotton Pygmy Goose","Nettapus coromandelianus"
"afrpyg1","African Pygmy-Goose","Nettapus auritus","African Pygmy Goose","Nettapus auritus"
"rintea1","Ringed Teal","Callonetta leucophrys","Ringed Teal","Callonetta leucophrys"
"wooduc","Wood Duck","Aix sponsa","Wood Duck","Aix sponsa"
"manduc","Mandarin Duck","Aix galericulata","Mandarin Duck","Aix galericulata"
"manduc1","Maned Duck","Chenonetta jubata","Maned Duck","Chenonetta jubata"
"finduc1","Finsch's Duck","Chenonetta finschi",NA,NA
"bratea1","Brazilian Teal","Amazonetta brasiliensis","Brazilian Teal","Amazonetta brasiliensis"
"bluduc1","Blue Duck","Hymenolaimus malacorhynchos",NA,NA
"torduc1","Torrent Duck","Merganetta armata","Torrent Duck","Merganetta armata"
"saltea1","Salvadori's Teal","Salvadorina waigiuensis","Salvadori's Teal","Salvadorina waigiuensis"
"baitea","Baikal Teal","Sibirionetta formosa","Baikal Teal","Sibirionetta formosa"
"gargan","Garganey","Spatula querquedula","Garganey","Spatula querquedula"
"hottea1","Hottentot Teal","Spatula hottentota","Hottentot Teal","Spatula hottentota"
"siltea1","Silver Teal","Spatula versicolor","Silver Teal","Spatula versicolor"
"puntea1","Puna Teal","Spatula puna","Puna Teal","Spatula puna"
"buwtea","Blue-winged Teal","Spatula discors","Blue-winged Teal","Spatula discors"
"cintea","Cinnamon Teal","Spatula cyanoptera","Cinnamon Teal","Spatula cyanoptera"
"redsho1","Red Shoveler","Spatula platalea","Red Shoveler","Spatula platalea"
"capsho1","Cape Shoveler","Spatula smithii","Cape Shoveler","Spatula smithii"
"aussho1","Australian Shoveler","Spatula rhynchotis","Australasian Shoveler","Spatula rhynchotis"
"norsho","Northern Shoveler","Spatula clypeata","Northern Shoveler","Spatula clypeata"
"gadwal","Gadwall","Mareca strepera","Gadwall","Mareca strepera"
"falduc","Falcated Duck","Mareca falcata","Falcated Duck","Mareca falcata"
"eurwig","Eurasian Wigeon","Mareca penelope","Eurasian Wigeon","Mareca penelope"
"amewig","American Wigeon","Mareca americana","American Wigeon","Mareca americana"
"chiwig1","Chiloe Wigeon","Mareca sibilatrix","Chiloe Wigeon","Mareca sibilatrix"
"amsduc1","Amsterdam Duck","Mareca marecula",NA,NA
"afbduc1","African Black Duck","Anas sparsa","African Black Duck","Anas sparsa"
"yebduc1","Yellow-billed Duck","Anas undulata","Yellow-billed Duck","Anas undulata"
"melduc1","Meller's Duck","Anas melleri","Meller's Duck","Anas melleri"
"pabduc1","Pacific Black Duck","Anas superciliosa","Pacific Black Duck","Anas superciliosa"
"layduc","Laysan Duck","Anas laysanensis","Laysan Duck","Anas laysanensis"
"hawduc","Hawaiian Duck","Anas wyvilliana","Hawaiian Duck","Anas wyvilliana"
"phiduc1","Philippine Duck","Anas luzonica","Philippine Duck","Anas luzonica"
"isbduc1","Indian Spot-billed Duck","Anas poecilorhyncha","Indian Spot-billed Duck","Anas poecilorhyncha"
"spbduc","Eastern Spot-billed Duck","Anas zonorhyncha","Eastern Spot-billed Duck","Anas zonorhyncha"
"mallar3","Mallard","Anas platyrhynchos","Mallard","Anas platyrhynchos"
"mexduc","Mexican Duck","Anas diazi","Mexican Duck","Anas diazi"
"ambduc","American Black Duck","Anas rubripes","American Black Duck","Anas rubripes"
"motduc","Mottled Duck","Anas fulvigula","Mottled Duck","Anas fulvigula"
"captea1","Cape Teal","Anas capensis","Cape Teal","Anas capensis"
"whcpin","White-cheeked Pintail","Anas bahamensis","White-cheeked Pintail","Anas bahamensis"
"rebduc1","Red-billed Duck","Anas erythrorhyncha","Red-billed Teal","Anas erythrorhyncha"
"norpin","Northern Pintail","Anas acuta","Northern Pintail","Anas acuta"
"eatpin1","Eaton's Pintail","Anas eatoni","Eaton's Pintail","Anas eatoni"
"yebpin1","Yellow-billed Pintail","Anas georgica","Yellow-billed Pintail","Anas georgica"
"gnwtea","Green-winged Teal","Anas crecca","Green-winged Teal","Anas carolinensis"
"spetea3","Andean Teal","Anas andium","Andean Teal","Anas andium"
"yebtea1","Yellow-billed Teal","Anas flavirostris","Yellow-billed Teal","Anas flavirostris"
"mauduc1","Mauritius Duck","Anas theodori",NA,NA
"andtea1","Andaman Teal","Anas albogularis","Andaman Teal","Anas albogularis"
"suntea1","Sunda Teal","Anas gibberifrons","Sunda Teal","Anas gibberifrons"
"gretea1","Gray Teal","Anas gracilis","Grey Teal","Anas gracilis"
"chetea1","Chestnut Teal","Anas castanea","Chestnut Teal","Anas castanea"
"bertea1","Bernier's Teal","Anas bernieri","Bernier's Teal","Anas bernieri"
"auitea1","Auckland Islands Teal","Anas aucklandica",NA,NA
"caitea1","Campbell Islands Teal","Anas nesiotis","Campbell Teal","Anas nesiotis"
"brotea1","Brown Teal","Anas chlorotis","Brown Teal","Anas chlorotis"
"pieduc1","Pink-eared Duck","Malacorhynchus membranaceus","Pink-eared Duck","Malacorhynchus membranaceus"
"martea1","Marbled Teal","Marmaronetta angustirostris","Marbled Duck","Marmaronetta angustirostris"
"pihduc1","Pink-headed Duck","Rhodonessa caryophyllacea",NA,NA
"whwduc1","White-winged Duck","Asarcornis scutulata","White-winged Duck","Asarcornis scutulata"
"recpoc","Red-crested Pochard","Netta rufina","Red-crested Pochard","Netta rufina"
"soupoc1","Southern Pochard","Netta erythrophthalma","Southern Pochard","Netta erythrophthalma"
"robpoc1","Rosy-billed Pochard","Netta peposaca","Rosy-billed Pochard","Netta peposaca"
"canvas","Canvasback","Aythya valisineria","Canvasback","Aythya valisineria"
"redhea","Redhead","Aythya americana","Redhead","Aythya americana"
"compoc","Common Pochard","Aythya ferina","Common Pochard","Aythya ferina"
"rinduc","Ring-necked Duck","Aythya collaris","Ring-necked Duck","Aythya collaris"
"ferduc","Ferruginous Duck","Aythya nyroca","Ferruginous Duck","Aythya nyroca"
"madpoc1","Madagascar Pochard","Aythya innotata","Madagascan Pochard","Aythya innotata"
"baepoc1","Baer's Pochard","Aythya baeri","Baer's Pochard","Aythya baeri"
"wheduc1","Hardhead","Aythya australis","Hardhead","Aythya australis"
"tufduc","Tufted Duck","Aythya fuligula","Tufted Duck","Aythya fuligula"
"nezsca1","New Zealand Scaup","Aythya novaeseelandiae","New Zealand Scaup","Aythya novaeseelandiae"
"gresca","Greater Scaup","Aythya marila","Greater Scaup","Aythya marila"
"lessca","Lesser Scaup","Aythya affinis","Lesser Scaup","Aythya affinis"
"steeid","Steller's Eider","Polysticta stelleri","Steller's Eider","Polysticta stelleri"
"speeid","Spectacled Eider","Somateria fischeri","Spectacled Eider","Somateria fischeri"
"kineid","King Eider","Somateria spectabilis","King Eider","Somateria spectabilis"
"comeid","Common Eider","Somateria mollissima","Common Eider","Somateria mollissima"
"harduc","Harlequin Duck","Histrionicus histrionicus","Harlequin Duck","Histrionicus histrionicus"
"labduc","Labrador Duck","Camptorhynchus labradorius",NA,NA
"sursco","Surf Scoter","Melanitta perspicillata","Surf Scoter","Melanitta perspicillata"
"whwsco3","Velvet Scoter","Melanitta fusca","Velvet Scoter","Melanitta fusca"
"whwsco2","White-winged Scoter","Melanitta deglandi","White-winged Scoter","Melanitta deglandi"
"whwsco1","Stejneger's Scoter","Melanitta stejnegeri",NA,NA
"blksco1","Common Scoter","Melanitta nigra","Common Scoter","Melanitta nigra"
"blksco2","Black Scoter","Melanitta americana","Black Scoter","Melanitta americana"
"lotduc","Long-tailed Duck","Clangula hyemalis","Long-tailed Duck","Clangula hyemalis"
"buffle","Bufflehead","Bucephala albeola","Bufflehead","Bucephala albeola"
"comgol","Common Goldeneye","Bucephala clangula","Common Goldeneye","Bucephala clangula"
"bargol","Barrow's Goldeneye","Bucephala islandica","Barrow's Goldeneye","Bucephala islandica"
"smew","Smew","Mergellus albellus","Smew","Mergellus albellus"
"hoomer","Hooded Merganser","Lophodytes cucullatus","Hooded Merganser","Lophodytes cucullatus"
"auimer1","Auckland Islands Merganser","Mergus australis",NA,NA
"commer","Common Merganser","Mergus merganser","Common Merganser","Mergus merganser"
"bramer1","Brazilian Merganser","Mergus octosetaceus","Brazilian Merganser","Mergus octosetaceus"
"rebmer","Red-breasted Merganser","Mergus serrator","Red-breasted Merganser","Mergus serrator"
"scsmer1","Scaly-sided Merganser","Mergus squamatus","Scaly-sided Merganser","Mergus squamatus"
"blhduc1","Black-headed Duck","Heteronetta atricapilla","Black-headed Duck","Heteronetta atricapilla"
"masduc","Masked Duck","Nomonyx dominicus","Masked Duck","Nomonyx dominicus"
"rudduc","Ruddy Duck","Oxyura jamaicensis","Ruddy Duck","Oxyura jamaicensis"
"andduc1","Andean Duck","Oxyura ferruginea","Andean Duck","Oxyura ferruginea"
"whhduc1","White-headed Duck","Oxyura leucocephala","White-headed Duck","Oxyura leucocephala"
"macduc1","Maccoa Duck","Oxyura maccoa","Maccoa Duck","Oxyura maccoa"
"lakduc1","Lake Duck","Oxyura vittata","Lake Duck","Oxyura vittata"
"blbduc1","Blue-billed Duck","Oxyura australis","Blue-billed Duck","Oxyura australis"
"musduc1","Musk Duck","Biziura lobata","Musk Duck","Biziura lobata"
"ausbrt1","Australian Brushturkey","Alectura lathami","Australian Brushturkey","Alectura lathami"
"watbrt1","Wattled Brushturkey","Aepypodius arfakianus","Wattled Brushturkey","Aepypodius arfakianus"
"brubrt1","Waigeo Brushturkey","Aepypodius bruijnii",NA,NA
"rebbrt1","Red-billed Brushturkey","Talegalla cuvieri","Red-billed Brushturkey","Talegalla cuvieri"
"bkbbrt1","Yellow-legged Brushturkey","Talegalla fuscirostris","Black-billed Brushturkey","Talegalla fuscirostris"
"bncbrt1","Red-legged Brushturkey","Talegalla jobiensis","Collared Brushturkey","Talegalla jobiensis"
"mallee1","Malleefowl","Leipoa ocellata","Malleefowl","Leipoa ocellata"
"maleo1","Maleo","Macrocephalon maleo","Maleo","Macrocephalon maleo"
"molscr1","Moluccan Scrubfowl","Eulipoa wallacei","Moluccan Megapode","Eulipoa wallacei"
"niuscr1","Niuafoou Scrubfowl","Megapodius pritchardii","Tongan Megapode","Megapodius pritchardii"
"micscr1","Micronesian Scrubfowl","Megapodius laperouse","Micronesian Megapode","Megapodius laperouse"
"nicscr1","Nicobar Scrubfowl","Megapodius nicobariensis","Nicobar Megapode","Megapodius nicobariensis"
"tabscr1","Tabon Scrubfowl","Megapodius cumingii","Philippine Megapode","Megapodius cumingii"
"sulscr1","Sula Scrubfowl","Megapodius bernsteinii","Sula Megapode","Megapodius bernsteinii"
"tanscr1","Tanimbar Scrubfowl","Megapodius tenimberensis","Tanimbar Megapode","Megapodius tenimberensis"
"dusscr2","Dusky Scrubfowl","Megapodius freycinet","Dusky Megapode","Megapodius freycinet"
"dusscr3","Biak Scrubfowl","Megapodius geelvinkianus","Biak Scrubfowl","Megapodius geelvinkianus"
"forscr1","Forsten's Scrubfowl","Megapodius forsteni",NA,NA
"melscr1","Melanesian Scrubfowl","Megapodius eremita","Melanesian Megapode","Megapodius eremita"
"vanscr1","Vanuatu Scrubfowl","Megapodius layardi","Vanuatu Megapode","Megapodius layardi"
"negscr1","New Guinea Scrubfowl","Megapodius decollatus","New Guinea Scrubfowl","Megapodius decollatus"
"orfscr1","Orange-footed Scrubfowl","Megapodius reinwardt","Orange-footed Scrubfowl","Megapodius reinwardt"
"placha","Plain Chachalaca","Ortalis vetula","Plain Chachalaca","Ortalis vetula"
"grhcha1","Gray-headed Chachalaca","Ortalis cinereiceps","Grey-headed Chachalaca","Ortalis cinereiceps"
"chwcha1","Chestnut-winged Chachalaca","Ortalis garrula","Chestnut-winged Chachalaca","Ortalis garrula"
"ruvcha1","Rufous-vented Chachalaca","Ortalis ruficauda","Rufous-vented Chachalaca","Ortalis ruficauda"
"ruhcha1","Rufous-headed Chachalaca","Ortalis erythroptera","Rufous-headed Chachalaca","Ortalis erythroptera"
"rubcha1","Rufous-bellied Chachalaca","Ortalis wagleri","Rufous-bellied Chachalaca","Ortalis wagleri"
"wemcha1","West Mexican Chachalaca","Ortalis poliocephala","West Mexican Chachalaca","Ortalis poliocephala"
"chacha1","Chaco Chachalaca","Ortalis canicollis","Chaco Chachalaca","Ortalis canicollis"
"whbcha1","White-bellied Chachalaca","Ortalis leucogastra","White-bellied Chachalaca","Ortalis leucogastra"
"colcha1","Colombian Chachalaca","Ortalis columbiana","Colombian Chachalaca","Ortalis columbiana"
"specha3","Speckled Chachalaca","Ortalis guttata","Speckled Chachalaca","Ortalis guttata"
"specha2","East Brazilian Chachalaca","Ortalis araucuan","East Brazilian Chachalaca","Ortalis araucuan"
"specha4","Scaled Chachalaca","Ortalis squamata","Scaled Chachalaca","Ortalis squamata"
"varcha1","Variable Chachalaca","Ortalis motmot","Little Chachalaca","Ortalis motmot"
"bubcha1","Buff-browed Chachalaca","Ortalis superciliaris","Buff-browed Chachalaca","Ortalis superciliaris"
"batgua1","Band-tailed Guan","Penelope argyrotis","Band-tailed Guan","Penelope argyrotis"
"beagua1","Bearded Guan","Penelope barbata","Bearded Guan","Penelope barbata"
"baugua1","Baudo Guan","Penelope ortoni","Baudo Guan","Penelope ortoni"
"andgua1","Andean Guan","Penelope montagnii","Andean Guan","Penelope montagnii"
"margua1","Marail Guan","Penelope marail","Marail Guan","Penelope marail"
"rumgua1","Rusty-margined Guan","Penelope superciliaris","Rusty-margined Guan","Penelope superciliaris"
"refgua1","Red-faced Guan","Penelope dabbenei","Red-faced Guan","Penelope dabbenei"
"spigua1","Spix's Guan","Penelope jacquacu","Spix's Guan","Penelope jacquacu"
"cregua1","Crested Guan","Penelope purpurascens","Crested Guan","Penelope purpurascens"
"caugua1","Cauca Guan","Penelope perspicax","Cauca Guan","Penelope perspicax"
"whwgua1","White-winged Guan","Penelope albipennis","White-winged Guan","Penelope albipennis"
"dulgua1","Dusky-legged Guan","Penelope obscura","Dusky-legged Guan","Penelope obscura"
"whcgua1","White-crested Guan","Penelope pileata","White-crested Guan","Penelope pileata"
"chbgua1","Chestnut-bellied Guan","Penelope ochrogaster","Chestnut-bellied Guan","Penelope ochrogaster"
"whbgua1","White-browed Guan","Penelope jacucaca","White-browed Guan","Penelope jacucaca"
"trpgua1","Trinidad Piping-Guan","Pipile pipile","Trinidad Piping Guan","Pipile pipile"
"btpgua1","Blue-throated Piping-Guan","Pipile cumanensis","Blue-throated Piping Guan","Pipile cumanensis"
"rtpgua1","Red-throated Piping-Guan","Pipile cujubi","Red-throated Piping Guan","Pipile cujubi"
"bfpgua1","Black-fronted Piping-Guan","Pipile jacutinga","Black-fronted Piping Guan","Pipile jacutinga"
"watgua1","Wattled Guan","Aburria aburri","Wattled Guan","Aburria aburri"
"blagua1","Black Guan","Chamaepetes unicolor","Black Guan","Chamaepetes unicolor"
"siwgua1","Sickle-winged Guan","Chamaepetes goudotii","Sickle-winged Guan","Chamaepetes goudotii"
"higgua1","Highland Guan","Penelopina nigra","Highland Guan","Penelopina nigra"
"horgua1","Horned Guan","Oreophasis derbianus","Horned Guan","Oreophasis derbianus"
"noccur1","Nocturnal Curassow","Nothocrax urumutum","Nocturnal Curassow","Nothocrax urumutum"
"crecur2","Crestless Curassow","Mitu tomentosum","Crestless Curassow","Mitu tomentosum"
"salcur1","Salvin's Curassow","Mitu salvini","Salvin's Curassow","Mitu salvini"
"rabcur2","Razor-billed Curassow","Mitu tuberosum","Razor-billed Curassow","Mitu tuberosum"
"alacur1","Alagoas Curassow","Mitu mitu",NA,NA
"helcur1","Helmeted Curassow","Pauxi pauxi","Helmeted Curassow","Pauxi pauxi"
